[ Info: Indexing package CurricularVisualization 0.1.4...
   Updating registry at `~/.julia/registries/General`
  Resolving package versions...
  Installed Libiconv_jll ───────────────── v1.16.0+7
  Installed Qt_jll ─────────────────────── v5.15.2+1
  Installed Wayland_protocols_jll ──────── v1.18.0+4
  Installed IteratorInterfaceExtensions ── v1.0.0
  Installed Requires ───────────────────── v1.1.2
  Installed GeometryBasics ─────────────── v0.3.5
  Installed Colors ─────────────────────── v0.12.6
  Installed PDMats ─────────────────────── v0.10.1
  Installed Ogg_jll ────────────────────── v1.3.4+2
  Installed LibVPX_jll ─────────────────── v1.9.0+1
  Installed libvorbis_jll ──────────────── v1.3.6+6
  Installed OpenSSL_jll ────────────────── v1.1.1+6
  Installed OrderedCollections ─────────── v1.3.2
  Installed Tables ─────────────────────── v1.2.2
  Installed Xorg_xkbcomp_jll ───────────── v1.4.2+4
  Installed Zlib_jll ───────────────────── v1.2.11+18
  Installed Adapt ──────────────────────── v2.4.0
  Installed Opus_jll ───────────────────── v1.3.1+3
  Installed Formatting ─────────────────── v0.4.2
  Installed Pidfile ────────────────────── v1.2.0
  Installed Missings ───────────────────── v0.4.4
  Installed Xorg_libXext_jll ───────────── v1.3.4+4
  Installed StructArrays ───────────────── v0.4.4
  Installed AssetRegistry ──────────────── v0.1.0
  Installed Observables ────────────────── v0.3.3
  Installed Plots ──────────────────────── v1.10.1
  Installed Libtiff_jll ────────────────── v4.1.0+2
  Installed Xorg_libXinerama_jll ───────── v1.1.4+4
  Installed FunctionalCollections ──────── v0.5.0
  Installed MacroTools ─────────────────── v0.5.6
  Installed SpecialFunctions ───────────── v1.2.1
  Installed WoodburyMatrices ───────────── v0.5.3
  Installed LZO_jll ────────────────────── v2.10.0+3
  Installed FFMPEG_jll ─────────────────── v4.3.1+4
  Installed WebIO ──────────────────────── v0.8.15
  Installed FixedPointNumbers ──────────── v0.8.4
  Installed xkbcommon_jll ──────────────── v0.9.1+5
  Installed Xorg_libXcursor_jll ────────── v1.2.0+4
  Installed Xorg_libXfixes_jll ─────────── v5.0.3+4
  Installed NearestNeighbors ───────────── v0.4.8
  Installed Parsers ────────────────────── v1.0.15
  Installed DataFrames ─────────────────── v0.21.8
  Installed Xorg_libXdmcp_jll ──────────── v1.1.3+4
  Installed SentinelArrays ─────────────── v1.2.16
  Installed Grisu ──────────────────────── v1.0.0
  Installed libpng_jll ─────────────────── v1.6.37+6
  Installed Fontconfig_jll ─────────────── v2.13.1+14
  Installed EarCut_jll ─────────────────── v2.1.5+1
  Installed CurricularVisualization ────── v0.1.4
  Installed Hiccup ─────────────────────── v0.2.2
  Installed Xorg_xtrans_jll ────────────── v1.4.0+3
  Installed FillArrays ─────────────────── v0.10.2
  Installed Zstd_jll ───────────────────── v1.4.5+2
  Installed QuadGK ─────────────────────── v2.4.1
  Installed AbstractFFTs ───────────────── v1.0.0
  Installed JLLWrappers ────────────────── v1.2.0
  Installed Xorg_xcb_util_jll ──────────── v0.4.0+1
  Installed Artifacts ──────────────────── v1.3.0
  Installed FFMPEG ─────────────────────── v0.4.0
  Installed MbedTLS ────────────────────── v1.0.3
  Installed Xorg_libXrandr_jll ─────────── v1.5.2+4
  Installed Lazy ───────────────────────── v0.15.1
  Installed DataAPI ────────────────────── v1.4.0
  Installed Cairo_jll ──────────────────── v1.16.0+6
  Installed CompilerSupportLibraries_jll ─ v0.3.4+0
  Installed AxisAlgorithms ─────────────── v1.0.0
  Installed DataValues ─────────────────── v0.4.13
  Installed Expat_jll ──────────────────── v2.2.7+6
  Installed MultivariateStats ──────────── v0.7.0
  Installed GR_jll ─────────────────────── v0.53.0+0
  Installed CategoricalArrays ──────────── v0.8.3
  Installed ArnoldiMethod ──────────────── v0.0.4
  Installed libfdk_aac_jll ─────────────── v0.1.6+4
  Installed ChainRulesCore ─────────────── v0.9.25
  Installed LAME_jll ───────────────────── v3.100.0+3
  Installed Showoff ────────────────────── v0.3.2
  Installed Contour ────────────────────── v0.5.7
  Installed FFTW_jll ───────────────────── v3.3.9+7
  Installed Xorg_libxkbfile_jll ────────── v1.1.0+4
  Installed GLFW_jll ───────────────────── v3.3.2+1
  Installed HTTP ───────────────────────── v0.8.19
  Installed Xorg_libX11_jll ────────────── v1.6.9+4
  Installed Rmath_jll ──────────────────── v0.2.2+1
  Installed DataStructures ─────────────── v0.17.20
  Installed LightGraphs ────────────────── v1.3.4
  Installed StatsFuns ──────────────────── v0.9.6
  Installed Blink ──────────────────────── v0.12.4
  Installed Compat ─────────────────────── v3.25.0
  Installed Libffi_jll ─────────────────── v3.2.1+4
  Installed MKL_jll ────────────────────── v2020.2.254+0
  Installed StatsPlots ─────────────────── v0.14.17
  Installed Libglvnd_jll ───────────────── v1.3.0+3
  Installed DocStringExtensions ────────── v0.8.3
  Installed OpenSpecFun_jll ────────────── v0.5.3+4
  Installed Xorg_xcb_util_renderutil_jll ─ v0.3.9+1
  Installed Documenter ─────────────────── v0.24.11
  Installed Xorg_xcb_util_keysyms_jll ──── v0.4.0+1
  Installed OpenBLAS_jll ───────────────── v0.3.9+5
  Installed TableOperations ────────────── v0.3.0
  Installed PooledArrays ───────────────── v0.5.3
  Installed Ratios ─────────────────────── v0.4.0
